college,section,credits,instructor,dates,location
Caldwell Community College and Technical Institute,MUS-110-681WA (97012) Music Appreciation,3,C. Gibson,"01/07/2021-05/05/2021 Classroom Hours Monday 09:00AM - 09:50AM, W372, Room 121 (more)...Comments: MUS-110-681WA is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and meets  requirements for the global scholar distinction.",Watauga
Caldwell Community College and Technical Institute,MUS-110-681WB (97013) Music Appreciation,3,C. Gibson,"01/07/2021-05/05/2021 Classroom Hours Wednesday 09:00AM - 09:50AM, W372, Room 121 (more)...Comments: MUS-110-681WB is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and meets  requirements for the global scholar distinction.",Watauga
Caldwell Community College and Technical Institute,MUS-111-011 (96984) Fundamentals of Music,3,J. Shulstad,"01/07/2021-05/04/2021 Classroom Hours Tuesday, Thursday 01:20PM - 02:35PM, West Caldwell High School, Room CALD HSComments: MUS-111-011 is limited to Career and College Promise students.",Caldwell
Caldwell Community College and Technical Institute,ART-111-040CB (96496) Art Appreciation,3,S. Brown,"01/07/2021-05/05/2021 Classroom Hours Thursday Times to be AnnouncedBuilding/Room to Be Determined, Room TBD (more)...Comments: ART-111-040CB is limited to CASA students and meets  requirements for the global scholar distinction.",Caldwell
Caldwell Community College and Technical Institute,ART-111-620 (94381) Art Appreciation,3,J. Harrison,"01/07/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: ART-111-620 is an Internet course that may require on-campus or  proctored testing and meets requirements for the global scholar  distinction. Students must complete the Syllabus Quiz by 1-19-20 in order to successfully enter the class.",On Line
Caldwell Community College and Technical Institute,ART-111-621 (94382) Art Appreciation,3,J. Carson,"02/05/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: ART-111-621 is an Internet course that may require on-campus or  proctored testing and meets requirements for the global scholar  distinction. Students must complete the Syllabus Quiz by 2-12-20 in order to successfully enter the class.",On Line
Caldwell Community College and Technical Institute,ART-111-622 (94383) Art Appreciation,3,M. Peters,"03/09/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: ART-111-622 is an Internet course that may require on-campus or  proctored testing and meets requirements for the global scholar  distinction. Students must complete the Syllabus Quiz by 3-12-20 in order to successfully enter the class.",On Line
Caldwell Community College and Technical Institute,ART-111-623C (97375) Art Appreciation,3,J. Carson,"01/07/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: ART-111-623C is limited to early college students and meets  requirements for the global scholar distinction.",Caldwell
Caldwell Community College and Technical Institute,ART-111-680WA (96504) Art Appreciation,3,M. Peters,"01/07/2021-05/05/2021 Classroom Hours Tuesday 11:00AM - 12:15PM, W141, Room 103 (more)...Comments: ART-111-680WA is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and meets  requirements for the global scholar distinction.",Watauga
Caldwell Community College and Technical Institute,ART-111-680WB (96505) Art Appreciation,3,M. Peters,"01/07/2021-05/05/2021 Classroom Hours Thursday 11:00AM - 12:15PM, W141, Room 103 (more)...Comments: ART-111-680WB is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and meets  requirements for the global scholar distinction.",Watauga
Caldwell Community College and Technical Institute,ART-115-620 (94384) Art History Survey II,3,L. Aultman,"01/07/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: ART-115-620 is an Internet course that may require on-campus or  proctored testing that meets requirements for the global scholar distinction and is a requirement for AFA majors. Students must  complete the Syllabus Quiz by 1-19-20 in order to successfully  enter the class.",On Line
Caldwell Community College and Technical Institute,ART-122-680C (96497) Three-Dimensional Design,3,S. Brown,"01/07/2021-05/05/2021 Lab/Shop Hours Tuesday, Thursday 02:30PM - 04:45PM, Building - D, Room 104 (more)...Comments: ART-122-680C is an Internet/campus combination course with the  on-campus portion meeting on Caldwell campus, is a requirement  for AFA students, and is approved for transfer under the CAA and ICAA as a pre-major and/or elective course.",Caldwell
Caldwell Community College and Technical Institute,ART-122-680WA (96506) Three-Dimensional Design,3,L. Aultman,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 01:00PM - 03:45PM, W141, Room 104 (more)...Comments: ART-122-680WA is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus, is a requirement  for AFA students, and is approved for transfer under the CAA and ICAA as a pre-major and/or elective course.",Watauga
Caldwell Community College and Technical Institute,ART-122-680WB (96507) Three-Dimensional Design,3,L. Aultman,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 01:00PM - 03:45PM, W141, Room 104 (more)...Comments: ART-122-680WB is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus, is a requirement  for AFA students, and is approved for transfer under the CAA and ICAA as a pre-major and/or elective course.",Watauga
Caldwell Community College and Technical Institute,ART-171-620 (96489) Digital Design I,3,To be Announced,"01/07/2021-05/05/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: ART-171-620 is an Internet course that may require on-campus or  proctored testing and is approved for transfer under the CAA and ICAA as a pre-major and/or elective course. Students must have  access to Adobe Photoshop.",On Line
Caldwell Community College and Technical Institute,ART-231-680C (96502) Printmaking I,3,T. Thielemann,"01/07/2021-05/05/2021 Lab/Shop Hours Monday, Wednesday 11:00AM - 12:30PM, Building - D, Room 105 (more)...Comments: ART-231-680C is an Internet/campus combination course with the  on-campus portion meeting on Caldwell campus and is approved for transfer under the CAA and ICAA as a pre-major and/or elective  course.",Caldwell
Caldwell Community College and Technical Institute,ART-231-680WA (96519) Printmaking I,3,L. Aultman,"01/07/2021-05/05/2021 Lab/Shop Hours Tuesday 11:00AM - 01:45PM, W141, Room 104 (more)...Comments: ART-231-680WA is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and is approved for  transfer under the CAA and ICAA as a pre-major and/or elective  course.",Watauga
Caldwell Community College and Technical Institute,ART-231-680WB (96520) Printmaking I,3,L. Aultman,"01/07/2021-05/05/2021 Lab/Shop Hours Thursday 11:00AM - 01:45PM, W141, Room 104 (more)...Comments: ART-231-680WB is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and is approved for  transfer under the CAA and ICAA as a pre-major and/or elective  course.",Watauga
Caldwell Community College and Technical Institute,ART-232-680C (96503) Printmaking II,3,T. Thielemann,"01/07/2021-05/05/2021 Lab/Shop Hours Monday, Wednesday 11:00AM - 12:30PM, Building - D, Room 105 (more)...Comments: ART-232-680C is an Internet/campus combination course with the  on-campus portion meeting on Caldwell campus and is approved for transfer under the CAA and ICAA as a pre-major and/or elective  course.",Caldwell
Caldwell Community College and Technical Institute,ART-232-680WA (96521) Printmaking II,3,L. Aultman,"01/07/2021-05/05/2021 Lab/Shop Hours Tuesday 11:00AM - 01:45PM, W141, Room 104 (more)...Comments: ART-232-680WA is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and is approved for  transfer under the CAA and ICAA as a pre-major and/or elective  course.",Watauga
Caldwell Community College and Technical Institute,ART-232-680WB (96522) Printmaking II,3,L. Aultman,"01/07/2021-05/05/2021 Lab/Shop Hours Thursday 11:00AM - 01:45PM, W141, Room 104 (more)...Comments: ART-232-680WB is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and is approved for  transfer under the CAA and ICAA as a pre-major and/or elective  course.",Watauga
Caldwell Community College and Technical Institute,ART-240-680C (96500) Painting I,3,T. Thielemann,"01/07/2021-05/05/2021 Lab/Shop Hours Tuesday, Thursday 11:00AM - 01:15PM, Building - D, Room 107 (more)...Comments: ART-240-680C is an Internet/campus combination course with the  on-campus portion meeting on Caldwell campus and is approved for transfer under the CAA and ICAA as a pre-major and/or elective  course.",Caldwell
Caldwell Community College and Technical Institute,ART-240-680WA (96523) Painting I,3,M. Peters,"01/07/2021-05/05/2021 Lab/Shop Hours Tuesday 02:00PM - 04:45PM, W141, Room 104 (more)...Comments: ART-240-680WA is an Internet/campus combination course with the  on-campus portion meeting on Watauga campus and is approved for  transfer under the CAA and ICAA as a pre-major and/or elective  course.",Watauga
Caldwell Community College and Technical Institute,MUS-112-030CA (96985) Introduction to Jazz,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Monday 01:00PM - 02:15PM, Building - H, Room 307 (more)...Comments: MUS-112-030CA is limited to early college students.",Caldwell
Caldwell Community College and Technical Institute,MUS-112-030CB (96986) Introduction to Jazz,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Wednesday 01:00PM - 02:15PM, Building - H, Room 307 (more)...Comments: MUS-112-030CB is limited to early college students.",Caldwell
Caldwell Community College and Technical Institute,MUS-112-031CA (96987) Introduction to Jazz,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Tuesday 01:00PM - 02:15PM, Building - H, Room 307 (more)...Comments: MUS-112-031CA is limited to early college students.",Caldwell
Caldwell Community College and Technical Institute,MUS-112-031CB (96988) Introduction to Jazz,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Thursday 01:00PM - 02:15PM, Building - H, Room 307 (more)...Comments: MUS-112-031CB is limited to early college students.",Caldwell
Caldwell Community College and Technical Institute,MUS-112-620 (94299) Introduction to Jazz,3,P. Holt,"01/07/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: MUS-112-620 is an Internet course that may require on-campus or  proctored testing.",On Line
Caldwell Community College and Technical Institute,MUS-112-621 (94300) Introduction to Jazz,3,J. Butler,"03/09/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: MUS-112-621 is an Internet course that may require on-campus or  proctored testing. This course is an accelerated learning model; students should expect a fast-paced course with more  independent, out of class work than a normal 16-week course.",On Line
Caldwell Community College and Technical Institute,MUS-112-680WA (97014) Introduction to Jazz,3,S. Roberts,"01/07/2021-05/05/2021 Classroom Hours Monday 02:00PM - 02:50PM, W372, Room 121 (more)...Comments: MUS-112-680WA is an Internet/campus combination course  with the on-campus portion meeting on Watauga campus and meets  requirements for the global scholar distinction.",Watauga
Caldwell Community College and Technical Institute,MUS-112-680WB (97015) Introduction to Jazz,3,S. Roberts,"01/07/2021-05/05/2021 Classroom Hours Wednesday 02:00PM - 02:50PM, W372, Room 121 (more)...Comments: MUS-112-680WB is an Internet/campus combination course  with the on-campus portion meeting on Watauga campus and meets  requirements for the global scholar distinction.",Watauga
Caldwell Community College and Technical Institute,MUS-122-780C (97016) Music Theory II,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Tuesday 11:00AM - 12:15PM, Building/Room to Be Determined, Room TBD (more)...Comments: MUS-122-780C is a videoconferencing/Internet/campus combination course with the on-campus portion meeting on  Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-122-780W (97017) Music Theory II,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Tuesday 11:00AM - 12:15PM, W372, Room 118 (more)...Comments: MUS-122-780W is a videoconferencing/Internet/campus combination course with the on-campus portion meeting on Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-126-620 (94305) Aural Skills II,1,L. Benton,"01/07/2021-05/05/2021 Online Lab Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: MUS-126-620 is an Internet course that may require on-campus or  proctored testing.",On Line
Caldwell Community College and Technical Institute,MUS-131-101 (94315) Chorus I,1,C. Sexton,"01/11/2021-05/05/2021 Lab/Shop Hours Monday, Wednesday 01:00PM - 01:50PM, Building - B, Room 100",Caldwell
Caldwell Community College and Technical Institute,MUS-131-800 (94751) Chorus I,1,J. Butler,"01/11/2021-05/03/2021 Lab/Shop Hours Monday 07:00PM - 09:00PM, A.S.U. Sites, Room HAYESComments: MUS-131-800 meets at ASU in Hayes Music School building room 214. Students registering for Chorus are expected to be able to read  sheet music.",Watauga
Caldwell Community College and Technical Institute,MUS-132-101 (94331) Chorus II,1,C. Sexton,"01/11/2021-05/05/2021 Lab/Shop Hours Monday, Wednesday 01:00PM - 01:50PM, Building - B, Room 100",Caldwell
Caldwell Community College and Technical Institute,MUS-132-800 (94753) Chorus II,1,J. Butler,"01/11/2021-05/03/2021 Lab/Shop Hours Monday 07:00PM - 09:00PM, A.S.U. Sites, Room HAYESComments: MUS-132-800 meets at ASU in Hayes Music School building room 214. Students registering for Chorus are expected to be able to read  sheet music.",Watauga
Caldwell Community College and Technical Institute,MUS-151P-680CA (96992) Class Music I - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 11:00AM - 11:50AM, Building - E, Room 301 (more)...Comments: MUS-151P-680CA is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-151P-680CB (96993) Class Music I - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 11:00AM - 11:50AM, Building - E, Room 301 (more)...Comments: MUS-151P-680CB is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-151P-680WA (97020) Class Music I - Piano,1,C. Gibson,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 11:00AM - 11:50AM, W372, Room 118 (more)...Comments: MUS-151P-680WA is an Internet/campus combination course with the on-campus portion meeting on Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-151P-680WB (97021) Class Music I - Piano,1,C. Gibson,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 11:00AM - 11:50AM, W372, Room 118 (more)...Comments: MUS-151P-680WB is an Internet/campus combination course with the on-campus portion meeting on Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-151P-681CA (97000) Class Music I - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 12:00PM - 12:50PM, Building - E, Room 301 (more)...Comments: MUS-151P-681CA is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-151P-681CB (97001) Class Music I - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 12:00PM - 12:50PM, Building - E, Room 301 (more)...Comments: MUS-151P-681CB is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-152P-680CA (96994) Class Music II - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 11:00AM - 11:50AM, Building - E, Room 301 (more)...Comments: MUS-152P-680CA is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-152P-680CB (96995) Class Music II - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 11:00AM - 11:50AM, Building - E, Room 301 (more)...Comments: MUS-152P-680CB is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-152P-680WA (97022) Class Music II - Piano,1,C. Gibson,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 11:00AM - 11:50AM, W372, Room 118 (more)...Comments: MUS-152P-680WA is an Internet/campus combination course with the on-campus portion meeting on Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-152P-680WB (97023) Class Music II - Piano,1,C. Gibson,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 11:00AM - 11:50AM, W372, Room 118 (more)...Comments: MUS-152P-680WB is an Internet/campus combination course with the on-campus portion meeting on Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-152P-681CA (97002) Class Music II - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 12:00PM - 12:50PM, Building - E, Room 301 (more)...Comments: MUS-152P-681CA is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-152P-681CB (97003) Class Music II - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 12:00PM - 12:50PM, Building - E, Room 301 (more)...Comments: MUS-152P-681CB is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-161B-460 (94350) Applied Music I - Brass,2,J. Butler,"01/07/2021-05/05/2021 Lab/Shop Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-161B-985 (94763) Applied Music I - Brass,2,J. Butler,"01/07/2021-05/05/2021 Lab/Shop Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-161D-460 (94351) Applied Music I - Percussion,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-161D-985 (94764) Applied Music I - Percussion,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-161G-460 (94352) Applied Music I - Guitar,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-161G-985 (94765) Applied Music I - Guitar,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-161P-460 (94353) Applied Music I - Piano,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-161P-985 (94766) Applied Music I - Piano,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-161S-460 (94354) Applied Music I-Strings,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-161S-985 (94767) Applied Music I-Strings,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-161V-460 (94355) Applied Music I - Voice,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-161V-985 (94768) Applied Music I - Voice,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-161W-460 (94356) Applied Music I - Woodwind,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-161W-985 (94769) Applied Music I - Woodwind,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-162B-460 (94357) Applied Music II - Brass,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-162D-460 (94358) Applied Music II - Percussion,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-162G-460 (94359) Applied Music II - Guitar,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-162G-985 (94770) Applied Music II - Guitar,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-162P-460 (94360) Applied Music II - Piano,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-162P-985 (94771) Applied Music II - Piano,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-162V-460 (94362) Applied Music II - Voice,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-162V-985 (97053) Applied Music II - Voice,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Watauga
Caldwell Community College and Technical Institute,MUS-162W-460 (94361) Applied Music II - Woodwind,2,J. Butler,"01/07/2021-05/05/2021 Classroom Hours Days to be Announced, Times to be AnnouncedOff Campus Sites, Room OFFComments: Additional fee. Student must contact Justin Butler to schedule  meeting time at jbutler@cccti.edu or 828.726.2357.",Caldwell
Caldwell Community College and Technical Institute,MUS-170-620 (94301) Business of Music,3,J. Butler,"01/07/2021-05/05/2021 Online Class Days to be Announced, Times to be AnnouncedOnline Courses, Room ONLINEComments: MUS-170-620 is an Internet course that may require on-campus or  proctored testing and has been approved for transfer under the  CAA as a general education course in Humanities/Fine Arts and  for transfer under the ICAA as a general education course in  Humanities/Fine Arts.",On Line
Caldwell Community College and Technical Institute,MUS-210-780CA (96990) History of Rock Music,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Tuesday 09:30AM - 10:45AM, Building/Room to Be Determined, Room TBD (more)...Comments: MUS-210-780CA is a videoconferencing/Internet/campus combination course with the on-campus portion meeting on  Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-210-780CB (96991) History of Rock Music,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Thursday 09:30AM - 10:45AM, Building/Room to Be Determined, Room TBD (more)...Comments: MUS-210-780CB is a videoconferencing/Internet/campus combination course with the on-campus portion meeting on  Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-210-780WA (97018) History of Rock Music,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Tuesday 09:30AM - 10:45AM, W372, Room 101 (more)...Comments: MUS-210-780WA is a videoconferencing/Internet/campus combination course with the on-campus portion meeting on  Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-210-780WB (97019) History of Rock Music,3,L. Benton,"01/07/2021-05/05/2021 Classroom Hours Thursday 09:30AM - 10:45AM, W372, Room 101 (more)...Comments: MUS-210-780WB is a videoconferencing/Internet/campus combination course with the on-campus portion meeting on  Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-231-101 (94332) Chorus III,1,C. Sexton,"01/11/2021-05/05/2021 Lab/Shop Hours Monday, Wednesday 01:00PM - 01:50PM, Building - B, Room 100",Caldwell
Caldwell Community College and Technical Institute,MUS-231-800 (94754) Chorus III,1,J. Butler,"01/11/2021-05/03/2021 Lab/Shop Hours Monday 07:00PM - 09:00PM, A.S.U. Sites, Room HAYESComments: MUS-231-800 meets at ASU in Hayes Music School building room 214.",Watauga
Caldwell Community College and Technical Institute,MUS-232-101 (94333) Chorus IV,1,C. Sexton,"01/11/2021-05/05/2021 Lab/Shop Hours Monday, Wednesday 01:00PM - 01:50PM, Building - B, Room 100",Caldwell
Caldwell Community College and Technical Institute,MUS-232-800 (94755) Chorus IV,1,J. Butler,"01/11/2021-05/03/2021 Lab/Shop Hours Monday 07:00PM - 09:00PM, A.S.U. Sites, Room HAYESComments: MUS-232-800 meets at ASU in Hayes Music School building room 214.",Watauga
Caldwell Community College and Technical Institute,MUS-251P-680CA (96996) Class Music III - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 11:00AM - 11:50AM, Building - E, Room 301 (more)...Comments: MUS-251P-680CA is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-251P-680CB (96997) Class Music III - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 11:00AM - 11:50AM, Building - E, Room 301 (more)...Comments: MUS-251P-680CB is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-251P-680WA (97024) Class Music III - Piano,1,C. Gibson,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 11:00AM - 11:50AM, W372, Room 118 (more)...Comments: MUS-251P-680WA is an Internet/campus combination course with the on-campus portion meeting on Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-251P-680WB (97025) Class Music III - Piano,1,C. Gibson,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 11:00AM - 11:50AM, W372, Room 118 (more)...Comments: MUS-251P-680WB is an Internet/campus combination course with the on-campus portion meeting on Watauga campus.",Watauga
Caldwell Community College and Technical Institute,MUS-251P-681CA (97005) Class Music III - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Monday 12:00PM - 12:50PM, Building - E, Room 301 (more)...Comments: MUS-251P-681CA is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
Caldwell Community College and Technical Institute,MUS-251P-681CB (97006) Class Music III - Piano,1,K. Gant,"01/07/2021-05/05/2021 Lab/Shop Hours Wednesday 12:00PM - 12:50PM, Building - E, Room 301 (more)...Comments: MUS-251P-681CB is an Internet/campus combination course with the on-campus portion meeting on Caldwell campus.",Caldwell
